lng,lat,pop_2001,per_capita_2001,msw_gen_tpd_2001,pop_2011,per_capita_2011,msw_gen_tpd_2011,city
85.362,23.9933,135473 ,0.288 ,39 ,178553 ,0.329 ,59 ,Hazaribagh
85.0418,25.6229,130339 ,0.305 ,40 ,171787 ,0.348 ,60 ,Dinapur Nizamat
72.8726,19.10851,16434386 ,0.450 ,7,395 ,21660521 ,0.514 ,11,124 ,Greater Mumbai
88.3628,22.6592,13205697 ,0.580 ,7,659 ,17405109 ,0.662 ,11,520 ,Greater Kolkata
78.4867,17.385,5742036 ,0.570 ,3,273 ,7568003 ,0.650 ,4,923 ,Greater Hyderabad
77.5946,12.9716,5701446 ,0.390 ,2,224 ,7514506 ,0.445 ,3,344 ,Greater Bengaluru
72.5714,23.0225,4525013 ,0.370 ,1,674 ,5963967 ,0.422 ,2,518 ,Ahmadabad
73.7997,18.6298,1470010 ,0.245 ,360 ,1937473 ,0.279 ,541 ,Pimpri Chinchwad
83.2185,17.6868,1345938 ,0.590 ,794 ,1773946 ,0.673 ,1,194 ,Greater Visakhapatnam
72.9781,19.2183,1261517 ,0.390 ,492 ,1662679 ,0.445 ,740 ,Thane
73.1305,19.2403,1193266 ,0.358 ,427 ,1572725 ,0.408 ,642 ,Kalyan-Dombivali
81.2849,21.1904,927864 ,0.500 ,464 ,1222925 ,0.571 ,698 ,Durg-Bhilainagar
75.9064,17.6599,872478 ,0.401 ,350 ,1149926 ,0.458 ,526 ,Solapur
75.124,15.3647,786195 ,0.509 ,400 ,1036205 ,0.581 ,602 ,Hubli-Dharwad
78.0322,30.3165,530263 ,0.310 ,164 ,698887 ,0.354 ,247 ,Dehradun
88.392,22.4473,336390 ,0.303 ,102 ,443362 ,0.346 ,153 ,Rajpur Sonarpur
78.7047,10.7905,866354 ,0.371 ,357 ,1141855 ,0.423 ,483 ,Tiruchirapalli
74.4593,16.6886,285860 ,0.351 ,100 ,376763 ,0.401 ,151 ,Ichalkarnji
75.7217,29.1492,263186 ,0.349 ,92 ,346879 ,0.398 ,138 ,Hissar
78.1348,8.7642,243415 ,0.499 ,122 ,320821 ,0.570 ,183 ,Thoothukkudi (Tuticorin)
79.6221,27.3673,242997 ,0.424 ,103 ,320270 ,0.484 ,155 ,Farrukhabad-Fatehgarh
85.5174,25.205,232071 ,0.352 ,82 ,305870 ,0.401 ,123 ,Bihar Sharif
92.7173,23.7307,228280 ,0.250 ,57 ,300873 ,0.285 ,86 ,Aizwal
88.1411,25.0108,224415 ,0.348 ,78 ,295779 ,0.397 ,117 ,English Bazar
78.1642,29.9457,220767 ,0.366 ,81 ,290971 ,0.417 ,121 ,Hardwar
83.5562,25.9431,212657 ,0.350 ,74 ,280282 ,0.399 ,112 ,Maunath Bhanjan
77.503,27.2152,205235 ,0.350 ,72 ,270500 ,0.400 ,108 ,Bharathpur
82.5037,25.1577,205053 ,0.352 ,72 ,270260 ,0.402 ,109 ,Mirzapur - Vindhyachal
73.1926,19.1825,203795 ,0.358 ,73 ,268602 ,0.409 ,110 ,Ambarnath
79.7042,12.8373,188733 ,0.501 ,95 ,248750 ,0.571 ,142 ,Kancheepuram
80.3894,23.8343,187029 ,0.349 ,65 ,246504 ,0.399 ,98 ,Murwara (Katni)
84.7543,25.7811,179190 ,0.351 ,63 ,236172 ,0.400 ,95 ,Chapra
77.8498,28.407,176425 ,0.403 ,71 ,232528 ,0.460 ,107 ,Bulandshahar
76.3909,15.2689,164240 ,0.500 ,82 ,216468 ,0.570 ,123 ,Hosepet
79.513,29.2183,158896 ,0.390 ,62 ,209425 ,0.445 ,93 ,Haldwani-cum-Kathgodam
78.2699,12.9551,157084 ,0.490 ,77 ,207037 ,0.559 ,116 ,Robertson Pet
71.6184,22.7523,156417 ,0.482 ,75 ,206158 ,0.550 ,113 ,Dudhrej
75.6355,15.4315,154982 ,0.502 ,78 ,204266 ,0.573 ,117 ,Gadag-Betigeri
79.1003,13.2172,152654 ,0.356 ,54 ,201198 ,0.406 ,82 ,Chittoor
88.5014,23.4009,148709 ,0.350 ,52 ,195998 ,0.400 ,78 ,Krishna Nagar
77.6651,25.4358,146892 ,0.347 ,51 ,193604 ,0.396 ,77 ,Shivpuri
88.3883,22.7674,144331 ,0.305 ,44 ,190228 ,0.348 ,66 ,Barrackpur
